sample_id,dx_mm,dy_mm,Lj_nH,Cj_fF,tee_finger_length_um,tee_finger_count,tee_cap_gap_um,ro_L_mm,fq_GHz,fr_GHz,Delta_GHz,g_over_2pi_MHz,chi_MHz,kappa_over_2pi_MHz,chi_over_kappa,Cin_fF,Ceff_fF,kappa_i_over_kappa_e,hit_chi_ge_2MHz,T1_qubit_est_us,T2_qubit_est_us,T1_qubit_dielectric_us,T1_qubit_purcell_us,status,error,warnings
chip_simple_dx7p273_dy0p000__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,0.0,12.0,2.0,160,12,1.2,8.5,4.73285614666,6.06364786636,-1.3307917197000005,226.8629872413658,5.47772784601593,5.835642549018717,0.9386674732051622,51.46868,76.8626284653231,5.208412609485892,True,0.9151018923502818,1.8302037847005637,36.737698066845695,0.9384785194742332,completed,,"Qi recalculated from inferred p=0.00224: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx7p273_dy0p909__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,0.909,12.0,2.0,160,12,1.2,8.5,4.68158068737,6.21519750417,-1.5336168167999995,264.3401351650299,5.589104882595062,6.023432078265482,0.9278937339996552,51.80135,76.91368221073732,4.87458142249387,True,0.8685679649983816,1.7371359299967633,37.13065129915327,0.889372349094837,completed,,"Qi recalculated from inferred p=0.00223: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx7p273_dy1p818__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,1.818,12.0,2.0,160,12,1.2,8.5,4.74884244552,6.18043323889,-1.4315907933699998,233.63488942126196,5.108353200099945,5.957387601556484,0.8574820947969354,51.91467,76.92966148995072,4.88299895892664,True,0.9763204309274921,1.9526408618549842,36.62466301293046,1.003059446399355,completed,,"Qi recalculated from inferred p=0.00222: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx7p273_dy2p727__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,2.727,12.0,2.0,160,12,1.2,8.5,4.77873216069,6.13275040265,-1.3540182419600004,229.1445143426731,5.505240939167022,5.952577534882911,0.9248499338153201,51.88499,76.92668641333698,5.023315134097399,True,0.9101986938815709,1.8203973877631419,36.36360461343069,0.93356631233334,completed,,"Qi recalculated from inferred p=0.00225: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx7p273_dy3p636__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,3.636,12.0,2.0,160,12,1.2,8.5,4.74821889126,6.18095763125,-1.4327387399900005,238.52840243237236,5.310853707441329,5.9861408193352545,0.8871915759628063,51.82366,76.91741566252222,4.930664202465971,True,0.9346928229699549,1.8693856459399099,36.52623155465666,0.9592394063559028,completed,,"Qi recalculated from inferred p=0.00224: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx7p273_dy4p545__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,4.545,12.0,2.0,160,12,1.2,8.5,4.76463364249,6.06778348676,-1.30314984427,222.43563515503286,5.540035029947281,5.83218068473875,0.9499079897239918,51.88434,76.92673571616176,5.09323626544283,True,0.9131061674782381,1.8262123349564763,36.35291815275375,0.9366323327251985,completed,,"Qi recalculated from inferred p=0.00223: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx7p273_dy5p455__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,5.455,12.0,2.0,160,12,1.2,8.5,4.7485203046,6.15888690142,-1.4103665968199994,227.68960044213736,4.987842560365677,5.9378595044850195,0.8400068335396332,51.91492,76.92974335458139,4.925414292106162,True,1.0002818271128964,2.0005636542257927,36.56719637877669,1.0284136947844345,completed,,"Qi recalculated from inferred p=0.00223: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx7p273_dy6p364__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,6.364,12.0,2.0,160,12,1.2,8.5,4.64195686026,6.15054121396,-1.5085843537000008,273.66878744595965,6.064661784154891,5.93995769375592,1.0209941041381592,51.81596,76.91577745142881,4.974425138028462,True,0.7968524337701504,1.5937048675403007,37.4222871815382,0.8141893966097276,completed,,"Qi recalculated from inferred p=0.00223: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx7p273_dy7p273__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,7.273,12.0,2.0,160,12,1.2,8.5,4.77632474172,6.11603268543,-1.3397079437099997,226.24005901050677,5.46948547539711,5.898415113466635,0.9272805270876513,51.91553,76.92955132631268,5.010508626895508,True,0.9221045288496355,1.844209057699271,36.26390674671335,0.9461631990013019,completed,,"Qi recalculated from inferred p=0.00223: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx7p273_dy8p182__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,8.182,12.0,2.0,160,12,1.2,8.5,4.72840082103,5.97315210181,-1.24475128078,217.62866557447816,5.6912676524562835,5.647951458913108,1.0076693636371143,51.81639,76.91570373818041,5.201914813270637,True,0.8993478653568691,1.7986957307137381,36.83740751655975,0.9218539937002475,completed,,"Qi recalculated from inferred p=0.0022: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.26e+03"
