MAE,MAPE_%,R2,model,target
0.030335074909916986,0.6445166900282708,-0.017751089287781685,R0_Constant_Mean,fq_GHz
0.03044823607592586,0.647286522302776,-0.041305034218328096,R0_Constant_Median,fq_GHz
0.03779684269709874,0.8017514538451015,-0.45998109270037424,R1_kNN_k3,fq_GHz
0.034447290680555596,0.7304801425665407,-0.3029323983963892,R1_kNN_k5,fq_GHz
0.03349023976198421,0.7103601238748787,-0.2624170688684442,R1_kNN_k7,fq_GHz
0.03106426057755141,0.6591096592046579,-0.16721096056340956,R1_kNN_k9,fq_GHz
0.034031054043269705,0.7215798117390428,-0.31025275125265006,R1_kNN_k5_dist,fq_GHz
0.03278972679293943,0.6953998895839336,-0.25181725809062105,R1_kNN_k7_dist,fq_GHz
0.031083740839057437,0.6593374578089354,-0.17181823038742627,R1_kNN_k9_dist,fq_GHz
0.0382853761806075,0.8120293439338637,-0.49903440108553343,R2_RF_n50,fq_GHz
0.037993652582727744,0.8058778162334415,-0.4708821457002217,R2_RF_n100,fq_GHz
0.037390405257212704,0.7931032768919185,-0.445094253518862,R2_RF_n200,fq_GHz
0.03160840725836401,0.6711352109473308,-0.09746465010265903,R2_RF_n100_d5,fq_GHz
0.03553203008298866,0.7537562652986429,-0.33842722692804017,R2_RF_n100_d10,fq_GHz
0.0587581246177349,0.9616640570653383,-0.030087469123161403,R0_Constant_Mean,fr_GHz
0.05763382289592592,0.944339164426469,-0.004682922998255679,R0_Constant_Median,fr_GHz
0.07063991032654321,1.1548134581709333,-0.6756412042105553,R1_kNN_k3,fr_GHz
0.06146631636655565,1.0049649096677098,-0.3017736663222572,R1_kNN_k5,fr_GHz
0.05838317239701065,0.9548717583119402,-0.15030689397910657,R1_kNN_k7,fr_GHz
0.056781568998806514,0.9284363648610069,-0.09281172372041913,R1_kNN_k9,fr_GHz
0.0606664283435324,0.991197071788393,-0.3345059557328658,R1_kNN_k5_dist,fr_GHz
0.05819800019753212,0.9510465823842398,-0.18054344613212603,R1_kNN_k7_dist,fr_GHz
0.055819274040432236,0.9119518193473248,-0.11956018141392155,R1_kNN_k9_dist,fr_GHz
0.06846838706190338,1.1202621166761006,-0.5487995254574749,R2_RF_n50,fr_GHz
0.06719622389454434,1.0991900128089753,-0.5175884939737829,R2_RF_n100,fr_GHz
0.06779825401199004,1.109214387370036,-0.5379960468533012,R2_RF_n200,fr_GHz
0.05982125196498175,0.9789183810848466,-0.09960311720282022,R2_RF_n100_d5,fr_GHz
0.06439077732203946,1.0533298978748897,-0.40699241061729596,R2_RF_n100_d10,fr_GHz
0.306394359648233,5.3308378537354315,-0.0021619064799480725,R0_Constant_Mean,chi_MHz
0.30108735341884474,5.184890366755559,-0.013290546985675,R0_Constant_Median,chi_MHz
0.3619596533738478,6.3340984074853015,-0.48771708175163586,R1_kNN_k3,chi_MHz
0.34754634255442424,6.087234716792512,-0.38276052353273826,R1_kNN_k5,chi_MHz
0.3308898117015626,5.811050398316409,-0.3198210151757963,R1_kNN_k7,chi_MHz
0.33918762888314985,5.932926663993248,-0.27467759359686306,R1_kNN_k9,chi_MHz
0.3426281993465527,6.007637398193362,-0.37952962064566376,R1_kNN_k5_dist,chi_MHz
0.3267998787654344,5.745772936113044,-0.3088318147242528,R1_kNN_k7_dist,chi_MHz
0.32883132411781524,5.766141776901317,-0.2620682466224904,R1_kNN_k9_dist,chi_MHz
0.3778744710559762,6.606839910587549,-0.6073092234426045,R2_RF_n50,chi_MHz
0.3716782734135569,6.500497738679144,-0.5809503956123612,R2_RF_n100,chi_MHz
0.3687314437016977,6.4414686259538865,-0.5574986993931206,R2_RF_n200,chi_MHz
0.32874986230159137,5.72596418952473,-0.1641513231527001,R2_RF_n100_d5,chi_MHz
0.36209553018813734,6.325262983291761,-0.4450729225458303,R2_RF_n100_d10,chi_MHz
0.08389964808172927,1.4246477655000949,-0.04337099202315886,R0_Constant_Mean,kappa_over_2pi_MHz
0.08244781484726706,1.402623848384222,-0.009363771950379185,R0_Constant_Median,kappa_over_2pi_MHz
0.10497184905564348,1.7809427755135845,-0.6243532042974558,R1_kNN_k3,kappa_over_2pi_MHz
0.0961400941980827,1.6316122928019754,-0.35257483810310397,R1_kNN_k5,kappa_over_2pi_MHz
0.09318874764398508,1.582430929125674,-0.22450516565180578,R1_kNN_k7,kappa_over_2pi_MHz
0.0883955235406115,1.500270109582923,-0.15408684708205955,R1_kNN_k9,kappa_over_2pi_MHz
0.09419674130849198,1.596733269772108,-0.35037929469751483,R1_kNN_k5_dist,kappa_over_2pi_MHz
0.0913050051841526,1.5481529566298078,-0.2225839712931803,R1_kNN_k7_dist,kappa_over_2pi_MHz
0.08762358774397416,1.485257096166136,-0.15947344882195225,R1_kNN_k9_dist,kappa_over_2pi_MHz
0.10014850625226945,1.7024318375801515,-0.4480224710586258,R2_RF_n50,kappa_over_2pi_MHz
0.09798271154997469,1.6644495407382836,-0.4047880210847232,R2_RF_n100,kappa_over_2pi_MHz
0.09854978900279153,1.6742893300968689,-0.41809890454422094,R2_RF_n200,kappa_over_2pi_MHz
0.0867436255180643,1.4737084260055793,-0.08368305464914072,R2_RF_n100_d5,kappa_over_2pi_MHz
0.0955748584487169,1.6236304034915618,-0.33224571424784055,R2_RF_n100_d10,kappa_over_2pi_MHz
0.06056497589392554,6.178950503538742,-0.009270240008621311,R0_Constant_Mean,chi_over_kappa
0.05832013476688089,5.885589868319988,-0.0026467270656900244,R0_Constant_Median,chi_over_kappa
0.07463833315566505,7.677453946121406,-0.5030602356183667,R1_kNN_k3,chi_over_kappa
0.07030683454025421,7.231221781078934,-0.3625515159048942,R1_kNN_k5,chi_over_kappa
0.06699425097193346,6.90577685563343,-0.3056011550944264,R1_kNN_k7,chi_over_kappa
0.06892307267550354,7.0734060639203955,-0.27067484352585636,R1_kNN_k9,chi_over_kappa
0.06951306090234513,7.164906471011447,-0.3660356905976334,R1_kNN_k5_dist,chi_over_kappa
0.066118989319531,6.834274454947171,-0.2913544510914854,R1_kNN_k7_dist,chi_over_kappa
0.06648361501031072,6.852000841868413,-0.2505693929435959,R1_kNN_k9_dist,chi_over_kappa
0.07809731884776928,8.002228911895497,-0.7387543857247592,R2_RF_n50,chi_over_kappa
0.0756790161972012,7.759413181370875,-0.6406004346191305,R2_RF_n100,chi_over_kappa
0.07519769978556728,7.7027028231497345,-0.634900422564326,R2_RF_n200,chi_over_kappa
0.06553579190621746,6.692168662270983,-0.1692528169452434,R2_RF_n100_d5,chi_over_kappa
0.07297988293538175,7.476236968335925,-0.5016782339703982,R2_RF_n100_d10,chi_over_kappa
