Target,Best_Model,MAE,MAPE_%,R2
fq_GHz,R0_Constant_Mean,0.030335074909916986,0.6445166900282708,-0.017751089287781685
fr_GHz,R1_kNN_k9_dist,0.055819274040432236,0.9119518193473248,-0.11956018141392155
chi_MHz,R0_Constant_Median,0.30108735341884474,5.184890366755559,-0.013290546985675
kappa_over_2pi_MHz,R0_Constant_Median,0.08244781484726706,1.402623848384222,-0.009363771950379185
chi_over_kappa,R0_Constant_Median,0.05832013476688089,5.885589868319988,-0.0026467270656900244
