method,query_idx,query_sample_id,query_fq_GHz,query_fr_GHz,query_chi_MHz,query_g_MHz,query_kappa_MHz,rank,retrieved_sample_id,retrieved_fq_GHz,retrieved_fr_GHz,retrieved_chi_MHz,retrieved_g_MHz,retrieved_kappa_MHz,distance_or_cost,error_fq,error_fr,error_chi,error_g,error_kappa
Surrogate_RF,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,1,fig5_cg3p0um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.89777742204,6.34923094667,4.391671866830825,213.14051325530752,6.096625432754106,0.0025432182032848055,0.0216667496999996,0.07682720687,0.15921614325904887,2.9789394552459783,0.05856757650884692
Surrogate_RF,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,2,fig5_cg2p0um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.88081947033,6.29200362079,4.710222612869263,215.78136757047287,6.007573423867593,0.002572672164958136,0.004708797989999347,0.01959988099000043,0.1593346027793885,5.61979377041132,0.030484432377665627
Surrogate_RF,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,3,fig5_cg2p5um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.86782605146,6.40620544852,4.850844314466476,237.9905673388129,6.17514285459043,0.00274247087806729,0.008284620880000482,0.13380170872000008,0.29995630437660203,27.828993538751348,0.13708499834517074
Surrogate_RF,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,4,fig5_cg4p5um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.8208314661,6.41561937046,4.202300157867431,231.21565590524023,6.118632919744756,0.004333582190746575,0.05527920624000071,0.14321563066000031,0.34858785222244304,21.05408210517868,0.08057506349949684
Surrogate_RF,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,5,fig5_cg3p5um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.85348773769,6.38790903463,4.356288998512268,225.5893196577544,6.102737650921461,0.004423824389332388,0.022622934650000204,0.11550529483000016,0.19459901157760662,15.427745857692855,0.06467979467620211
Surrogate_RF,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,6,fig5_cg5p0um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.81774089875,6.23547817573,4.9252252214355465,224.50085102947097,5.919781007367641,0.004520473507659048,0.05836977358999995,0.036925564069999695,0.3743372113456722,14.339277229409419,0.1182768488776178
Surrogate_RF,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,7,fig5_cg4p0um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.84081846419,6.4170299131,4.2439929298172,228.91083087667948,6.164372524451142,0.004603038313943382,0.03529220815000045,0.14462617330000072,0.30689508027267465,18.749257076617937,0.12631466820588333
Surrogate_RF,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,8,fig5_cg2p5um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.82985966256,6.3640851834,4.45615377314949,229.1245415394613,6.124821045393385,0.005499161755343563,0.04625100978000063,0.09168144360000063,0.09473423694038452,18.962967739399744,0.08676318914812597
Surrogate_RF,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,9,fig5_cg3p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.85591843529,6.44095110726,4.270610977590561,230.04663618304903,6.1997071597004,0.0058054569714298095,0.020192237050000728,0.16854736746000043,0.28027703249931335,19.885062382987485,0.16164930345514072
Surrogate_RF,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,10,fig5_cg4p5um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.76152326688,6.26061677056,4.183778731437683,220.21744270871204,6.0120493220772,0.0077206025807398755,0.11458740546000001,0.011786969239999223,0.36710927865219123,10.055868908650496,0.02600853416805915
