method,Err@1_fq,Hit@1_fq,Err@1_fr,Hit@1_fr,Err@1_chi,Hit@1_chi,Err@1_g,Hit@1_g,Err@1_kappa,Hit@1_kappa,Err@3_fq,Hit@3_fq,Err@3_fr,Hit@3_fr,Err@3_chi,Hit@3_chi,Err@3_g,Hit@3_g,Err@3_kappa,Hit@3_kappa,Err@5_fq,Hit@5_fq,Err@5_fr,Hit@5_fr,Err@5_chi,Hit@5_chi,Err@5_g,Hit@5_g,Err@5_kappa,Hit@5_kappa,Err@10_fq,Hit@10_fq,Err@10_fr,Hit@10_fr,Err@10_chi,Hit@10_chi,Err@10_g,Hit@10_g,Err@10_kappa,Hit@10_kappa
NearestNeighbors,0.007304276118503874,0.984251968503937,0.015969161761889724,0.9921259842519685,0.1402451378319658,0.9921259842519685,2.6147244339901166,0.952755905511811,0.024777697908011445,1.0,0.004983707298582705,0.9921259842519685,0.009726985829842502,0.9921259842519685,0.0936731807555552,0.9921259842519685,1.3304106727838156,0.984251968503937,0.01321332730099288,1.0,0.003149389195433105,1.0,0.00644175066259841,0.9921259842519685,0.07811311528103745,0.9921259842519685,1.0927063850993988,0.984251968503937,0.011108713289811362,1.0,0.002393652093700789,1.0,0.004652479959133814,0.9921259842519685,0.05578026141986696,0.9921259842519685,0.8184252710259055,0.984251968503937,0.007920419931432535,1.0
SQuADDS_MultiTarget,0.014215196285118088,0.9606299212598425,0.019466707996771644,0.984251968503937,0.07878299490415014,0.9921259842519685,2.201855057777606,0.952755905511811,0.034069915424767325,1.0,0.008221807558976387,0.9921259842519685,0.012481482673307094,0.9921259842519685,0.05627376601489511,0.9921259842519685,1.1760952334638395,0.984251968503937,0.021663167611821837,1.0,0.005853548663070871,0.9921259842519685,0.009082054879999978,0.9921259842519685,0.0516137290564409,0.9921259842519685,1.0126522610935156,0.984251968503937,0.01690847351297847,1.0,0.003914917297795266,0.9921259842519685,0.005534930776535417,0.9921259842519685,0.045200230622449204,0.9921259842519685,0.8440464570101883,0.984251968503937,0.011789607515997821,1.0
SQuADDS_fqOnly,0.0005372638953543449,1.0,0.15164432717637802,0.5118110236220472,0.9353764203730607,0.8976377952755905,17.664782238150714,0.4409448818897638,0.20831774814868598,0.9448818897637795,0.0005372638953543449,1.0,0.07377344133259844,0.8110236220472441,0.391307545361196,0.952755905511811,8.531566315826506,0.7480314960629921,0.09807888549082236,0.984251968503937,0.0005372638953543449,1.0,0.044484450058267726,0.9133858267716536,0.23360598167264746,0.952755905511811,5.055028653204288,0.8740157480314961,0.06130532605030802,0.9921259842519685,0.0005372638953543449,1.0,0.02710852766062992,0.9606299212598425,0.1514744877896798,0.9763779527559056,3.231771541341322,0.9212598425196851,0.040246788588548625,0.9921259842519685
Surrogate_Ridge,0.12031958591598409,0.14960629921259844,0.2649535597581102,0.10236220472440945,1.3817893972425084,0.2677165354330709,17.751034222511766,0.29133858267716534,0.2591744604431018,0.984251968503937,0.06705498994708652,0.3858267716535433,0.21730488783692917,0.12598425196850394,0.9881625907798377,0.47244094488188976,6.985434515337618,0.7322834645669292,0.19506335441813502,1.0,0.04536118693559057,0.6299212598425197,0.20270497286519698,0.13385826771653545,0.7823953785407148,0.7322834645669292,5.170582255139195,0.8818897637795275,0.15645613755794696,1.0,0.02534870487598423,0.905511811023622,0.18133840342330723,0.15748031496062992,0.48001367013835167,0.8818897637795275,3.5666345819517984,0.952755905511811,0.08741423773608605,1.0
Surrogate_RF,0.08358680250866131,0.3464566929133858,0.1263186853110235,0.4881889763779528,0.5465812104858339,0.8818897637795275,12.14437128702086,0.49606299212598426,0.13891984352106942,0.9921259842519685,0.044935267949606304,0.6141732283464567,0.06730887239078727,0.7480314960629921,0.3013349464088801,0.984251968503937,7.459256477215608,0.7401574803149606,0.08521985861132395,1.0,0.02656395583905512,0.8503937007874016,0.05387746325409439,0.8346456692913385,0.24849260485381797,0.9921259842519685,5.550098697737058,0.8582677165354331,0.06800243937862967,1.0,0.016682165360551185,1.0,0.04606604946803138,0.937007874015748,0.20542927766322353,0.9921259842519685,2.786702940827651,0.9921259842519685,0.05387254108658326,1.0
